Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Probability
3,1,34.5,0,0,7.8292,3,0.12
3,0,47.0,1,0,7.0,1,0.18
2,1,62.0,0,0,9.6875,3,0.49
3,1,27.0,0,0,8.6625,1,0.7
3,0,22.0,1,1,12.2875,1,0.53
3,1,14.0,0,0,9.225,1,0.06916666666666665
3,0,30.0,0,0,7.6292,3,0.31616161616161614
2,1,26.0,1,1,29.0,1,0.11
3,0,18.0,0,0,7.2292,2,0.92
3,1,21.0,2,0,24.15,1,0.01
3,1,30.272590361445783,0,0,7.8958,1,0.01
1,1,46.0,0,0,26.0,1,0.09166666666666666
1,0,23.0,1,0,82.2667,1,1.0
2,1,63.0,1,0,26.0,1,0.34
1,0,47.0,1,0,61.175,1,1.0
2,0,24.0,1,0,27.7208,2,0.96
2,1,35.0,0,0,12.35,3,0.06033333333333333
3,1,21.0,0,0,7.225,2,0.63
3,0,27.0,1,0,7.925,1,0.66
3,0,45.0,0,0,7.225,2,0.2
1,1,55.0,1,0,59.4,2,0.44
3,1,9.0,0,1,3.1708,1,0.7759999999999999
1,0,30.272590361445783,0,0,31.6833,1,1.0
1,1,21.0,0,1,61.3792,2,0.43
1,0,48.0,1,3,262.375,2,0.95
3,1,50.0,1,0,14.5,1,0.0
1,0,22.0,0,1,61.9792,2,1.0
3,1,22.5,0,0,7.225,2,0.68
1,1,41.0,0,0,30.5,1,0.706
3,1,30.272590361445783,2,0,21.6792,2,0.27
2,1,50.0,1,0,26.0,1,0.0
2,1,24.0,2,0,31.5,1,0.05
3,0,33.0,1,2,20.575,1,0.82
3,0,30.272590361445783,1,2,23.45,1,0.2
1,1,30.0,1,0,57.75,2,0.6615000000000001
3,1,18.5,0,0,7.2292,2,0.35
3,0,30.272590361445783,0,0,8.05,1,0.08
3,0,21.0,0,0,8.6625,1,0.08
3,1,25.0,0,0,9.5,1,0.01
3,1,30.272590361445783,0,0,56.4958,1,0.6213333333333333
3,1,39.0,0,1,13.4167,2,0.205
1,1,30.272590361445783,0,0,26.55,1,0.5101666666666665
3,1,41.0,0,0,7.85,1,0.1416666666666667
2,0,30.0,0,0,13.0,1,1.0
1,0,45.0,1,0,52.5542,1,1.0
3,1,25.0,0,0,7.925,1,0.01
1,1,45.0,0,0,29.7,2,0.3456666666666666
3,1,30.272590361445783,0,0,7.75,3,0.0800314824064824
1,0,60.0,0,0,76.2917,2,0.98
3,0,36.0,0,2,15.9,1,0.73
1,1,24.0,1,0,60.0,1,0.54
2,1,27.0,0,0,15.0333,2,0.2
2,0,20.0,2,1,23.0,1,0.94
1,0,28.0,3,2,263.0,1,0.89
2,1,30.272590361445783,0,0,15.5792,2,0.09
3,1,10.0,4,1,29.125,3,0.07
3,1,35.0,0,0,7.8958,1,0.0
